ID,TRACT,GEOID,label,nhousingUn,nMobileHom,yearBuilt,nBadPlumbi,nBadKitche,nRooms,nBedrooms,medHHinc,Population,MedianAge,PopInHouse,nHousehold,Families
870,003103,6029003103,"Census Tract 31.03, Kern County, California",1075,20,1957,36,114,4.6,2.046512,24750,3551,27.1,3544,1001,756
871,003103,6073003103,"Census Tract 31.03, San Diego County, California",1637,6,1966,10,22,5.6,3.025657,44263,6159,31.2,6131,1609,1381
872,003105,6073003105,"Census Tract 31.05, San Diego County, California",1063,8,1958,0,14,5,2.638758,46005,4167,29.3,4167,1048,913
873,003106,6077003106,"Census Tract 31.06, San Joaquin County, California",1865,0,1976,8,8,5.1,2.502413,49551,3818,43.6,3818,1793,1079
874,003107,6073003107,"Census Tract 31.07, San Diego County, California",1558,0,1971,0,11,5.8,3.037869,55389,5852,33.8,5830,1538,1359
875,003108,6073003108,"Census Tract 31.08, San Diego County, California",1108,147,1965,0,0,5.6,2.737365,47340,3697,33.5,3697,1090,892
876,003108,6077003108,"Census Tract 31.08, San Joaquin County, California",1946,0,1975,6,0,4.6,2.161357,39222,4468,30.8,4468,1888,1150
877,003109,6073003109,"Census Tract 31.09, San Diego County, California",828,10,1983,0,19,5.7,3.286232,62721,3697,33.6,3692,826,790
878,003109,6077003109,"Census Tract 31.09, San Joaquin County, California",2290,8,1963,8,110,5.4,2.567686,43796,5587,35.7,5587,2200,1470
879,003110,6077003110,"Census Tract 31.10, San Joaquin County, California",1664,0,1965,15,13,4.4,2.07512,28087,3792,30.9,3754,1582,933
880,003111,6073003111,"Census Tract 31.11, San Diego County, California",1657,88,1973,16,13,4.3,2.321062,30123,6186,24.9,6161,1599,1284
881,003111,6077003111,"Census Tract 31.11, San Joaquin County, California",1830,0,1977,0,11,4,1.951366,35091,3725,34.8,3725,1759,869
882,003112,6029003112,"Census Tract 31.12, Kern County, California",1914,113,1979,7,13,5,2.354754,41179,5042,30.1,5036,1818,1284
883,003112,6073003112,"Census Tract 31.12, San Diego County, California",1234,234,1977,10,0,4.9,2.73825,41705,4484,30.9,4467,1171,986
884,003112,6077003112,"Census Tract 31.12, San Joaquin County, California",1386,8,1980,6,6,5.3,2.642857,53017,3110,41.6,3110,1329,868
885,003113,6029003113,"Census Tract 31.13, Kern County, California",1389,186,1976,0,18,5,2.519078,32018,4007,30.9,3906,1294,1000
886,003113,6073003113,"Census Tract 31.13, San Diego County, California",1244,0,1976,9,0,5.8,3.305466,57568,5302,34.4,5296,1227,1119
887,003113,6077003113,"Census Tract 31.13, San Joaquin County, California",2220,0,1977,26,34,3.6,1.726577,25285,6072,26.2,5681,2065,1257
888,003114,6029003114,"Census Tract 31.14, Kern County, California",2208,266,1983,13,27,5.4,2.728261,40724,6987,29.7,6863,2121,1760
889,003114,6073003114,"Census Tract 31.14, San Diego County, California",809,0,1985,0,0,6.3,3.375773,67621,3566,33.4,3566,800,768
890,003114,6077003114,"Census Tract 31.14, San Joaquin County, California",2465,23,1993,0,62,6,2.953753,78770,6362,37.7,6326,2384,1742
891,003115,6029003115,"Census Tract 31.15, Kern County, California",1518,56,1982,5,12,5,2.613966,34548,5250,25.1,5239,1450,1239
892,003115,6073003115,"Census Tract 31.15, San Diego County, California",1774,0,1971,6,0,4.8,2.596392,50966,6865,31.1,6859,1753,1608
893,003121,6029003121,"Census Tract 31.21, Kern County, California",2468,296,1972,29,13,4.8,2.350081,31211,7359,27,7334,2341,1746
894,003122,6029003122,"Census Tract 31.22, Kern County, California",2010,219,1985,9,0,5,2.585572,37721,7239,24.4,7233,1891,1671
895,003123,6029003123,"Census Tract 31.23, Kern County, California",1645,10,1995,0,0,6,3.197568,58081,5219,29.5,5212,1602,1384
896,003124,6029003124,"Census Tract 31.24, Kern County, California",1407,198,1996,0,0,5.8,3.141436,49425,4618,29.5,4423,1369,1136
897,0032,6007003200,"Census Tract 32, Butte County, California",1442,645,1973,25,14,4.9,2.316227,28222,3878,36.6,3864,1319,985
898,0032,6071003200,"Census Tract 32, San Bernardino County, California",2132,0,1966,9,20,5.5,2.535178,43224,7254,29,7240,2045,1703
899,0032,6107003200,"Census Tract 32, Tulare County, California",1541,145,1969,33,31,4.9,2.543154,26061,5901,23.8,5895,1466,1258
900,0032,6109003200,"Census Tract 32, Tuolumne County, California",2303,225,1976,33,19,5.2,2.556665,41414,5545,39.4,5527,2105,1521
901,003201,6019003201,"Census Tract 32.01, Fresno County, California",1476,0,1959,11,55,4.8,2.342818,30068,4089,29.5,4078,1353,988
902,003201,6029003201,"Census Tract 32.01, Kern County, California",1865,90,1994,9,9,5.6,2.986059,52351,6061,29.8,6047,1775,1542
903,003201,6067003201,"Census Tract 32.01, Sacramento County, California",2132,14,1973,46,43,4.9,2.446529,27717,8383,26.1,8222,2051,1683
904,003201,6073003201,"Census Tract 32.01, San Diego County, California",1491,0,1990,7,0,4.9,2.590879,39899,5457,26.9,5425,1471,1355
905,003201,6099003201,"Census Tract 32.01, Stanislaus County, California",1403,113,1983,12,12,5,2.583749,47219,5275,26.7,5063,1364,1112
906,003201,6111003201,"Census Tract 32.01, Ventura County, California",799,7,1951,16,5,2.8,1.461827,37344,4531,25,4531,789,696
907,003202,6019003202,"Census Tract 32.02, Fresno County, California",1723,0,1969,13,0,4.3,2.113755,28216,5150,25.8,5141,1606,1212
908,003202,6029003202,"Census Tract 32.02, Kern County, California",2204,229,1986,45,33,5,2.617514,37584,7396,28.9,7396,2089,1770
909,003202,6067003202,"Census Tract 32.02, Sacramento County, California",1707,210,1956,6,10,4.9,2.291154,28862,4778,32.9,4709,1634,1110
910,003202,6073003202,"Census Tract 32.02, San Diego County, California",1388,176,1959,9,0,5,2.466138,42917,4547,34.7,4537,1359,1098
911,003202,6099003202,"Census Tract 32.02, Stanislaus County, California",2062,37,1981,11,48,5.5,2.819108,50531,6941,28.2,6924,1976,1642
912,003202,6111003202,"Census Tract 32.02, Ventura County, California",716,0,1961,7,0,3.6,2.219274,21682,3654,23.3,3654,709,642
913,003203,6029003203,"Census Tract 32.03, Kern County, California",789,0,1988,0,0,6.4,3.259823,71188,2578,33.3,2572,769,691
914,003203,6077003203,"Census Tract 32.03, San Joaquin County, California",1462,0,1961,5,0,6,2.981532,54833,3526,44.1,3521,1428,1038
915,003204,6029003204,"Census Tract 32.04, Kern County, California",494,132,1976,0,0,6.1,2.684211,41917,1532,35.2,1532,471,407
916,003204,6073003204,"Census Tract 32.04, San Diego County, California",1000,0,1965,0,14,6.3,3.32,57933,3168,38.4,3164,980,821
917,003205,6077003205,"Census Tract 32.05, San Joaquin County, California",1348,0,1967,7,0,5.8,2.933234,46550,3692,38.3,3650,1321,1016
918,003207,6073003207,"Census Tract 32.07, San Diego County, California",2166,7,1977,8,0,5.4,2.821791,57222,5689,37.6,5689,2099,1528
919,003208,6073003208,"Census Tract 32.08, San Diego County, California",2288,0,1978,0,0,4.1,2.159091,43994,7218,29.9,7207,2248,1809
920,003208,6077003208,"Census Tract 32.08, San Joaquin County, California",1695,13,1979,12,21,6.5,3.256047,57833,5886,31,5809,1651,1454
921,003209,6073003209,"Census Tract 32.09, San Diego County, California",1766,0,1982,0,0,4.4,2.192525,46800,5376,29,5376,1735,1350
922,003209,6077003209,"Census Tract 32.09, San Joaquin County, California",1289,0,1977,0,0,6.4,3.197828,59583,3757,36,3757,1272,1070
923,003210,6077003210,"Census Tract 32.10, San Joaquin County, California",1054,0,1986,0,33,5.5,2.722011,56250,2880,41.2,2743,1028,693
924,003211,6073003211,"Census Tract 32.11, San Diego County, California",888,0,1959,8,0,5.3,2.609234,46250,3108,34.9,3100,881,764
925,003211,6077003211,"Census Tract 32.11, San Joaquin County, California",1964,0,1976,0,9,5.6,2.765275,38378,6670,27.4,6659,1908,1608
926,003212,6073003212,"Census Tract 32.12, San Diego County, California",1100,0,1970,0,0,5.6,2.989091,57917,4079,36.5,3907,1091,950
927,003213,6073003213,"Census Tract 32.13, San Diego County, California",1090,0,1984,0,0,5.9,3.037615,65188,4513,34.2,4504,1076,1012
928,003213,6077003213,"Census Tract 32.13, San Joaquin County, California",1321,10,1979,20,19,6.5,3.165783,50246,4881,30.8,4638,1287,1135
929,003214,6073003214,"Census Tract 32.14, San Diego County, California",1425,0,1983,0,0,5.3,2.739649,55227,4644,29.9,4644,1399,1169
930,003214,6077003214,"Census Tract 32.14, San Joaquin County, California",1020,0,1985,0,0,6.4,3.494118,73286,3456,36.7,3445,1029,905
931,003215,6077003215,"Census Tract 32.15, San Joaquin County, California",1716,0,1986,0,0,4.2,2.138112,40802,3765,30.7,3765,1646,954
932,0033,6007003300,"Census Tract 33, Butte County, California",1602,695,1977,20,24,5.1,2.440075,32986,3930,41.9,3930,1450,1098
933,0033,6019003300,"Census Tract 33, Fresno County, California",2768,35,1954,20,12,4.5,2.047688,26989,7934,31.9,7673,2647,1819
934,0033,6067003300,"Census Tract 33, Sacramento County, California",1973,7,1955,0,22,5.9,2.838317,52527,4128,47.6,4128,1909,1184
935,0033,6071003300,"Census Tract 33, San Bernardino County, California",3195,563,1973,8,18,4.4,2.111424,29190,9943,27.9,9865,3018,2206
936,0033,6099003300,"Census Tract 33, Stanislaus County, California",1329,158,1966,29,35,5.1,2.589165,36250,4458,30.3,4265,1222,1022
937,0033,6107003300,"Census Tract 33, Tulare County, California",2144,388,1971,63,43,5,2.423041,30901,7161,28.3,7133,1978,1644
938,0033,6111003300,"Census Tract 33, Ventura County, California",2196,0,1966,35,44,5,2.515483,43292,7107,32,6905,2155,1658
939,003301,6073003301,"Census Tract 33.01, San Diego County, California",964,0,1960,8,22,3.9,1.931535,30855,3362,25.1,3360,928,740
940,003302,6029003302,"Census Tract 33.02, Kern County, California",4338,519,1978,55,113,5.1,2.494467,39890,7051,39.3,7051,2710,1908
941,003302,6073003302,"Census Tract 33.02, San Diego County, California",2679,250,1971,37,10,3.4,1.794326,23845,9466,24.9,9452,2640,2096
942,003303,6029003303,"Census Tract 33.03, Kern County, California",598,216,1968,11,21,5.2,2.520067,30365,1495,37.5,1463,528,398
943,003303,6073003303,"Census Tract 33.03, San Diego County, California",999,0,1975,17,17,3.5,1.702703,20299,3623,23.1,3618,917,758
944,003304,6029003304,"Census Tract 33.04, Kern County, California",969,340,1970,18,26,4.9,2.499484,43369,5521,34.4,2665,860,685
945,003305,6077003305,"Census Tract 33.05, San Joaquin County, California",1529,0,1962,7,0,5.7,2.784827,43148,3883,38.8,3877,1494,1077
946,003306,6077003306,"Census Tract 33.06, San Joaquin County, California",1450,7,1969,0,0,4.8,2.395172,32517,4318,31.1,4254,1404,1050
947,003307,6077003307,"Census Tract 33.07, San Joaquin County, California",1871,4,1967,6,30,4.1,1.990379,26480,4801,32,4651,1830,1118
948,003308,6077003308,"Census Tract 33.08, San Joaquin County, California",719,0,1971,0,0,4.1,2.111266,30560,1725,26,1725,691,387
949,003309,6077003309,"Census Tract 33.09, San Joaquin County, California",2150,0,1975,65,188,3.2,1.595349,21167,7355,22.7,7250,2028,1544
950,003310,6077003310,"Census Tract 33.10, San Joaquin County, California",1524,0,1971,17,0,5,2.468504,34375,4363,32,4328,1482,1064
951,003311,6077003311,"Census Tract 33.11, San Joaquin County, California",1134,0,1969,29,29,5.1,2.501764,39375,3846,28.1,3832,1096,927
952,0034,6007003400,"Census Tract 34, Butte County, California",1101,129,1960,0,2,4.8,2.30881,32372,2977,36.1,2914,1039,778
953,0034,6019003400,"Census Tract 34, Fresno County, California",1700,20,1956,34,19,4.4,1.915882,25366,5006,29.8,4776,1605,1085
954,0034,6029003400,"Census Tract 34, Kern County, California",1466,82,1950,15,48,4.8,2.354025,24977,3557,30.3,3557,1259,892
955,0034,6067003400,"Census Tract 34, Sacramento County, California",1861,8,1960,6,6,5.5,2.636754,42848,4093,46.6,4074,1806,1141
956,0034,6099003400,"Census Tract 34, Stanislaus County, California",546,127,1957,0,3,5,2.327839,32266,1560,30.7,1560,517,402
957,0034,6107003400,"Census Tract 34, Tulare County, California",1876,539,1971,6,8,5,2.481876,31060,5409,34.4,5395,1739,1325
958,003401,6071003401,"Census Tract 34.01, San Bernardino County, California",1760,8,1967,30,33,5.2,2.503409,43649,6451,27.8,6441,1675,1435
959,003401,6073003401,"Census Tract 34.01, San Diego County, California",2094,195,1959,8,0,4.2,2.082617,36959,5890,30.2,5798,2024,1469
960,003401,6111003401,"Census Tract 34.01, Ventura County, California",1568,0,1954,23,13,4.4,2.191327,36867,5427,29.3,5346,1523,1170
961,003402,6071003402,"Census Tract 34.02, San Bernardino County, California",2750,469,1981,16,14,4,1.896727,25537,8543,23.9,8538,2593,2001
962,003402,6111003402,"Census Tract 34.02, Ventura County, California",1894,6,1976,19,32,3.7,1.835269,38520,6946,26.9,6904,1887,1355
963,003403,6071003403,"Census Tract 34.03, San Bernardino County, California",1045,24,1961,25,23,5.1,2.581818,35313,3656,29.5,3650,997,850
964,003403,6073003403,"Census Tract 34.03, San Diego County, California",1086,14,1962,5,10,3.7,1.882136,25069,4284,25.2,4272,1053,883
965,003403,6077003403,"Census Tract 34.03, San Joaquin County, California",1201,16,1984,17,15,5.8,3.308909,49021,4903,26.2,4753,1184,1074
966,003404,6073003404,"Census Tract 34.04, San Diego County, California",1180,0,1962,27,27,3.8,2.073729,25417,4880,24.4,4854,1157,1014
967,003404,6077003404,"Census Tract 34.04, San Joaquin County, California",1817,452,1978,13,5,4.7,2.349477,27938,6327,27.1,6306,1772,1361
968,003405,6077003405,"Census Tract 34.05, San Joaquin County, California",1122,0,1981,7,13,4.7,2.385918,36532,4632,25.2,4511,1098,966
969,003406,6077003406,"Census Tract 34.06, San Joaquin County, California",1232,0,1977,16,7,4.3,2.051136,25602,4255,24.1,4227,1201,943
970,003407,6077003407,"Census Tract 34.07, San Joaquin County, California",894,173,1987,6,0,3.9,1.828859,26332,2746,25.4,2672,862,598
971,003408,6077003408,"Census Tract 34.08, San Joaquin County, California",2659,7,1991,23,13,5.2,2.752539,45223,9472,28.7,9385,2584,2181
972,0035,6007003500,"Census Tract 35, Butte County, California",2462,145,1959,16,32,5.1,2.44476,28629,6873,34.3,6720,2307,1701
973,0035,6019003500,"Census Tract 35, Fresno County, California",2213,18,1947,6,27,4.7,2.080434,27397,5489,30.3,5481,2079,1199
974,0035,6029003500,"Census Tract 35, Kern County, California",2351,95,1965,5,15,4.9,2.360272,32245,5690,34.1,5550,2115,1464
975,0035,6077003500,"Census Tract 35, San Joaquin County, California",2504,687,1973,0,27,5.7,2.905351,51422,6452,41.8,6344,2401,1815
976,0035,6099003500,"Census Tract 35, Stanislaus County, California",2340,35,1982,10,8,5.1,2.513675,40598,7535,29.6,7469,2233,1813
977,0035,6107003500,"Census Tract 35, Tulare County, California",3078,88,1984,11,70,5.4,2.766407,46652,9501,30.8,9423,2912,2434
978,0035,6111003500,"Census Tract 35, Ventura County, California",383,0,1985,8,14,2.7,1.27154,35556,1187,27.8,1187,359,247
979,003501,6067003501,"Census Tract 35.01, Sacramento County, California",1301,8,1953,18,12,4.7,2.159877,29229,2845,36.5,2844,1226,720
980,003501,6071003501,"Census Tract 35.01, San Bernardino County, California",3647,222,1975,6,45,5,2.497944,37159,13569,24.4,13506,3413,2951
981,003501,6073003501,"Census Tract 35.01, San Diego County, California",1062,10,1959,6,0,3.5,1.851224,18828,4059,23.2,4042,1032,876
982,003502,6067003502,"Census Tract 35.02, Sacramento County, California",1380,0,1954,0,8,4.9,2.348551,37766,3125,39.9,3125,1334,828
983,003502,6071003502,"Census Tract 35.02, San Bernardino County, California",4177,9,1981,80,36,5.1,2.649509,39380,15355,24.1,15193,3899,3408
984,003502,6073003502,"Census Tract 35.02, San Diego County, California",1251,23,1959,37,17,3.4,1.634692,23667,4645,25.3,4585,1199,928
985,0036,6007003600,"Census Tract 36, Butte County, California",1274,134,1965,7,21,5.2,2.659341,37e3,3432,34.6,3430,1165,901
986,0036,6019003600,"Census Tract 36, Fresno County, California",1773,6,1945,0,0,5.7,2.495206,43333,4030,37,4030,1692,1012
987,0036,6029003600,"Census Tract 36, Kern County, California",1620,33,1949,5,24,5.1,2.432099,33225,4068,30.9,4068,1424,1061
988,0036,6067003600,"Census Tract 36, Sacramento County, California",1060,0,1954,29,23,4.3,2.036792,28622,3054,29.2,2991,993,658
989,003601,6071003601,"Census Tract 36.01, San Bernardino County, California",4949,514,1982,34,27,4.9,2.418872,36948,17548,25.7,17275,4705,3839
990,003601,6073003601,"Census Tract 36.01, San Diego County, California",719,0,1960,8,8,3.5,1.759388,23750,2803,24.5,2799,678,563
991,003601,6077003601,"Census Tract 36.01, San Joaquin County, California",1356,296,1968,0,0,5.3,2.611357,41435,3329,44.1,3281,1297,887
992,003601,6107003601,"Census Tract 36.01, Tulare County, California",2202,169,1979,27,0,5.3,2.625341,40072,6899,30,6862,2128,1712
993,003602,6071003602,"Census Tract 36.02, San Bernardino County, California",3441,195,1982,36,49,5.6,2.650683,45438,12652,26.3,12639,3245,2769
994,003602,6073003602,"Census Tract 36.02, San Diego County, California",687,16,1968,13,11,3.8,2.010189,28750,3016,23.6,3008,676,598
995,003602,6077003602,"Census Tract 36.02, San Joaquin County, California",967,242,1967,15,9,5.3,2.60393,44914,3032,35.1,3006,933,766
996,003602,6099003602,"Census Tract 36.02, Stanislaus County, California",2949,12,1990,0,33,5.2,2.620888,45504,8385,27.8,8027,2808,2045
997,003602,6107003602,"Census Tract 36.02, Tulare County, California",1951,221,1974,7,25,4.7,2.376217,31365,5592,30.2,5503,1838,1337
998,003603,6073003603,"Census Tract 36.03, San Diego County, California",1055,0,1958,40,35,3.6,1.754502,24786,4192,25,4142,1016,889
999,003603,6099003603,"Census Tract 36.03, Stanislaus County, California",1396,303,1965,0,0,5.3,2.64255,34453,4135,31.4,4112,1329,1056
1000,003603,6111003603,"Census Tract 36.03, Ventura County, California",3087,284,1976,8,0,5.3,2.566893,60063,5093,49,5093,2451,1446
1001,003604,6099003604,"Census Tract 36.04, Stanislaus County, California",2038,155,1974,10,0,5.5,2.788027,46688,6169,35.5,6124,1983,1635
1002,003604,6111003604,"Census Tract 36.04, Ventura County, California",2623,0,1971,6,30,4.5,2.285932,55428,4396,39,4396,2086,1040
1003,003605,6111003605,"Census Tract 36.05, Ventura County, California",2525,9,1976,0,0,5.5,2.68198,56659,7242,34.3,7182,2480,1816
1004,003607,6111003607,"Census Tract 36.07, Ventura County, California",1306,0,1971,24,7,5.7,2.911179,61724,5207,30.6,5176,1295,1143
1005,003608,6111003608,"Census Tract 36.08, Ventura County, California",902,0,1984,7,7,5.9,2.741685,60139,3555,28,3555,881,774
1006,0037,6019003700,"Census Tract 37, Fresno County, California",2785,11,1958,59,59,4.5,2.067504,30319,7938,29.6,7767,2586,1790
1007,0037,6029003700,"Census Tract 37, Kern County, California",932,306,1967,34,43,5,2.458155,30372,3038,27.7,3023,845,700
1008,0037,6067003700,"Census Tract 37, Sacramento County, California",1337,7,1954,26,32,4,1.956619,21174,4651,23.2,4625,1201,918
1009,0037,6071003700,"Census Tract 37, San Bernardino County, California",1281,5,1968,12,31,3.8,1.74395,22365,3362,27.8,3362,1150,708
1010,0037,6077003700,"Census Tract 37, San Joaquin County, California",1101,230,1964,27,6,4.7,2.307902,30354,3145,35.9,3124,1033,762
1011,0037,6099003700,"Census Tract 37, Stanislaus County, California",1300,56,1974,0,4,5.3,2.696923,40817,4470,28.7,4430,1257,1054
1012,0037,6107003700,"Census Tract 37, Tulare County, California",2010,18,1972,0,90,5,2.391542,35437,5622,31.6,5510,1846,1418
1013,0037,6111003700,"Census Tract 37, Ventura County, California",1360,0,1959,11,6,5,2.794853,50969,6759,26.8,6717,1319,1205
1014,0038,6067003800,"Census Tract 38, Sacramento County, California",1818,7,1960,11,11,5.4,2.80088,35724,5307,34.9,5242,1751,1334
1015,0038,6071003800,"Census Tract 38, San Bernardino County, California",3670,5,1969,16,19,6,3.032153,43788,13498,27.8,13245,3539,2975
1016,0038,6073003800,"Census Tract 38, San Diego County, California",0,0,0,0,0,0,0,0,7139,22.6,0,0,0
1017,0038,6111003800,"Census Tract 38, Ventura County, California",1696,4,1962,19,24,3.7,1.898585,40088,8640,25.9,8186,1676,1480
1018,003801,6019003801,"Census Tract 38.01, Fresno County, California",2209,37,1987,30,34,5.3,2.527388,42857,7375,28.8,7350,2148,1787
1019,003801,6077003801,"Census Tract 38.01, San Joaquin County, California",1356,0,1997,23,13,6.7,3.59882,64444,4768,28.9,4768,1314,1169
1020,003801,6099003801,"Census Tract 38.01, Stanislaus County, California",2895,328,1982,31,12,4.4,2.273575,37747,8479,28.7,8461,2799,1987
1021,003801,6107003801,"Census Tract 38.01, Tulare County, California",1110,28,1964,0,11,4.9,2.32973,26832,2961,30.9,2857,1036,729
1022,003802,6077003802,"Census Tract 38.02, San Joaquin County, California",978,8,1995,7,0,6.3,3.243354,65394,3415,30.4,3413,955,840
1023,003802,6099003802,"Census Tract 38.02, Stanislaus County, California",1518,22,1964,28,16,3.7,1.721344,26385,5744,25.8,5582,1434,1178
1024,003802,6107003802,"Census Tract 38.02, Tulare County, California",1480,18,1958,14,71,3.7,1.696622,17654,4145,28.9,3780,1363,853
1025,003803,6019003803,"Census Tract 38.03, Fresno County, California",1248,128,1976,0,6,5.7,2.834936,45703,3889,37.9,3800,1204,994
1026,003803,6029003803,"Census Tract 38.03, Kern County, California",756,8,1992,9,0,6.8,3.398148,82008,2456,36.7,2443,746,679
1027,003803,6077003803,"Census Tract 38.03, San Joaquin County, California",959,80,1963,7,9,4.8,2.2878,28095,5206,30.7,2858,906,680
1028,003803,6099003803,"Census Tract 38.03, Stanislaus County, California",722,78,1980,8,8,4.4,2.130194,35673,3504,26.8,2773,700,577
1029,003804,6019003804,"Census Tract 38.04, Fresno County, California",1268,0,1987,33,8,5.4,2.818612,46587,4368,30.5,4368,1239,1040
1030,003804,6029003804,"Census Tract 38.04, Kern County, California",1166,8,1993,0,0,5.9,3.14837,54779,3842,29.7,3842,1166,993
1031,003805,6019003805,"Census Tract 38.05, Fresno County, California",1957,418,1985,0,23,4.5,2.101686,29730,5553,27.4,5548,1836,1338
1032,003805,6029003805,"Census Tract 38.05, Kern County, California",1269,0,1997,0,0,6.1,3.416864,72e3,4032,29.8,4029,1251,1104
1033,003806,6019003806,"Census Tract 38.06, Fresno County, California",2236,134,1982,9,0,4.9,2.420841,40437,6718,31,6712,2117,1645
1034,003806,6029003806,"Census Tract 38.06, Kern County, California",633,0,1997,0,0,6.5,3.221169,61910,1908,30,1908,627,528
1035,003807,6029003807,"Census Tract 38.07, Kern County, California",1251,0,1983,0,0,5.8,2.890488,49175,3799,33.7,3794,1223,1028
1036,003808,6029003808,"Census Tract 38.08, Kern County, California",1281,0,1995,0,0,5.6,2.965652,56667,3671,28.9,3671,1214,986
1037,003809,6029003809,"Census Tract 38.09, Kern County, California",1805,272,1990,158,149,6.6,3.040443,73866,5302,36.5,5302,1611,1432
1038,003810,6029003810,"Census Tract 38.10, Kern County, California",810,30,1990,19,19,7.7,3.57284,95905,2578,37.4,2578,782,728
1039,003811,6029003811,"Census Tract 38.11, Kern County, California",858,111,1967,0,24,5.5,2.783217,41115,2173,40.2,2173,817,602
1040,003812,6029003812,"Census Tract 38.12, Kern County, California",1496,67,1994,0,53,5.4,2.750668,51069,3701,30.6,3689,1345,946
1041,003813,6029003813,"Census Tract 38.13, Kern County, California",717,45,1995,0,0,6.8,3.542538,75947,2316,35.1,2301,740,646
1042,0039,6019003900,"Census Tract 39, Fresno County, California",1765,427,1969,69,56,4.8,2.188669,26541,5503,29,5458,1576,1273
1043,0039,6029003900,"Census Tract 39, Kern County, California",243,39,1963,10,0,4.8,2.45679,34345,3130,31.5,714,221,182
1044,0039,6067003900,"Census Tract 39, Sacramento County, California",1697,0,1961,0,0,5.7,2.697702,46518,3649,45.9,3605,1653,1024
1045,0039,6071003900,"Census Tract 39, San Bernardino County, California",1427,323,1961,5,9,5,2.502453,37417,4680,28,4672,1342,1005
1046,0039,6077003900,"Census Tract 39, San Joaquin County, California",524,98,1963,32,18,4.6,2.131679,40804,2435,28.6,1332,427,313
1047,0039,6111003900,"Census Tract 39, Ventura County, California",1397,19,1954,23,65,4.4,2.282033,45429,6787,25.2,6430,1369,1168
1048,003901,6073003901,"Census Tract 39.01, San Diego County, California",996,7,1964,10,0,3.1,1.60743,24266,4098,22.4,4098,947,797
1049,003901,6107003901,"Census Tract 39.01, Tulare County, California",1902,272,1971,32,44,4.7,2.30021,26830,6737,24.6,6711,1794,1473
1050,003902,6073003902,"Census Tract 39.02, San Diego County, California",1292,15,1962,17,50,2.8,1.328173,21477,5078,23.7,5078,1239,1000
1051,003902,6107003902,"Census Tract 39.02, Tulare County, California",1643,408,1973,34,83,4.5,2.236762,27409,4949,27.8,4938,1421,1137
1052,003904,6099003904,"Census Tract 39.04, Stanislaus County, California",1762,0,1955,14,10,4.5,2.077185,25777,4353,34.2,4334,1693,1077
1053,003905,6099003905,"Census Tract 39.05, Stanislaus County, California",1499,15,1966,0,0,5.9,3.018012,57292,3950,41.9,3946,1468,1154
1054,003906,6099003906,"Census Tract 39.06, Stanislaus County, California",1854,6,1975,18,7,3.9,1.787487,27480,4904,28.6,4684,1776,1158
1055,003907,6099003907,"Census Tract 39.07, Stanislaus County, California",2566,8,1978,20,36,5.6,2.840218,49375,7117,42.9,6657,2559,1919
1056,003908,6099003908,"Census Tract 39.08, Stanislaus County, California",1134,168,1976,20,12,3.6,1.74515,22313,2594,28.1,2532,1022,599
1057,003909,6099003909,"Census Tract 39.09, Stanislaus County, California",2105,16,1982,6,22,5.2,2.600475,45908,5938,32.9,5906,2042,1535
1058,0040,6019004e3,"Census Tract 40, Fresno County, California",2787,139,1976,15,21,4.4,2.241119,30439,9539,27.6,9508,2692,2228
1059,0040,6029004e3,"Census Tract 40, Kern County, California",1173,36,1974,58,8,4.4,2.217391,27634,4279,23.2,4206,1044,911
1060,0040,6071004e3,"Census Tract 40, San Bernardino County, California",3441,436,1974,55,43,5.2,2.657948,36569,12760,27.1,12540,3205,2732
1061,0040,6073004e3,"Census Tract 40, San Diego County, California",1245,11,1962,24,43,3.6,1.509237,22878,5036,23.2,4960,1176,944
1062,0040,6107004e3,"Census Tract 40, Tulare County, California",0,0,0,0,0,0,0,0,903,41.5,12,5,3
1063,0040,6111004e3,"Census Tract 40, Ventura County, California",1377,192,1963,12,7,5,2.550472,43514,6030,29,5984,1363,1121
1064,004001,6067004001,"Census Tract 40.01, Sacramento County, California",2875,0,1967,32,23,5.5,2.630609,47917,6282,43.6,6261,2788,1757
1065,004001,6077004001,"Census Tract 40.01, San Joaquin County, California",1170,472,1978,32,27,4.6,2.176923,3e4,3000,36.6,2954,1040,740
1066,004002,6077004002,"Census Tract 40.02, San Joaquin County, California",637,0,1998,0,0,6.1,3.436421,85e3,1650,31.9,1650,569,457
1067,004004,6067004004,"Census Tract 40.04, Sacramento County, California",2791,0,1978,14,8,6.1,2.998925,66988,6649,43.8,6616,2730,1895
1068,004005,6067004005,"Census Tract 40.05, Sacramento County, California",2037,0,1973,10,0,5.5,2.695631,55972,4333,48,4183,1963,1192
1069,004006,6067004006,"Census Tract 40.06, Sacramento County, California",2345,0,1971,0,12,5,2.397868,43155,5184,37.7,5110,2212,1363
1070,004008,6067004008,"Census Tract 40.08, Sacramento County, California",1594,10,1985,7,7,5.7,2.904015,65133,3925,38.2,3925,1563,1059
1071,004009,6067004009,"Census Tract 40.09, Sacramento County, California",2391,8,1984,0,0,5.1,2.421999,52e3,5436,35.5,5419,2304,1381
1072,004010,6067004010,"Census Tract 40.10, Sacramento County, California",2055,0,1986,8,0,4.6,2.202433,49922,4671,33.7,4566,2010,1142
